text,date
"Crazy! Send me some close ups! It looks good",431414528
"￼",431415040
"I'm so happy with it. ",431415040
"Looks perfect ",431448320
"￼Finally back ",431454464
"Miss urban ",431454592
Missed*,431454592
"Thanks so much for your help, homie. ",431458176
"Hey, it's Xander. Want to get lunch today?",431460864
"Oh shoot sounds dope!",431461632
"Ya itl be chill lets get lunch another day",431463680
"Hey I'm driving today want a ride?",431464704
"LOL ",431464832
"miss ya lucaz ",431464832
"How's urb ",431464832
"It's ok not the same ",431464832
"Miss you too",431464832
"How's college!?",431464832
"It kinda sucks right now but hopefully it'll get cooler/better/ more fun! ",431465088
"How was your summer? ",431465216
"What it sucks?!! How is that possible ",431465216
"Haha I don't know I haven't really met anyone that I like that much and everything is weird. Bigger transition than I had anticipated but I'm sure it'll all settle and get fun soon... Or at least I hope. ",431465344
"Greg told me his new carpool sucks",431465344
"Haha he kind of told me that too! Ya I get that it's all new and gonna be weird I think soon youl meet people who are into the same shit as you. Hopefully! How long have you been there? ",431465472
"My summer was great!! You?",431465472
"It's been two weeks so not long at all. It'll all be good soon I'm sure. Have you started to do college shit yet? ",431466240
"Mine was incredible. I worked at Tawonga the whole time and it was awesome ",431466240
"Haha you did? I forgot about Tawonga but that's awesome my brother worked at Walton's all summer and it sounded soo fun. Ya haven't started essays or anything but Ive been looking at schools",431469568
"I'm tired of urban people though it's gotta be fun to meet new people at least",431469696
"Wanna invite other people urban or head Royce?",431470208
"Ya I think a few hrs people are going",431470720
"Yeah but I'm really not used to east-coasty, preppy, pre-professional people which is what the majority of the people here are like. It's a big school so I'm sure there are people who share my interests/ sense of humor they're just not everywhere like they were at urban/ in Berkeley. ",431470720
"But yeah camp rocks, Tawonga is the best place ever I think you'd like it ",431470720
"Should I invite urb peep",431470720
"Also if you're tired of urban people, maybe try to rekindle your friendships with Berkeley kids, cuz that can be a really nice escape from the weirdness that is urban ",431470848
"Ya if you want",431470848
"Idk man! I'm so excited to go to cal gameצץ",431470848
Game*!,431470848
!!,431470976
"Me too",431470976
"I'll try to recruit some people",431471104
"￼HES STRAIGHT",431476352
"Aight me too",431476352
Nah,431476352
"Can't be",431476352
"Ya I get that I'm just really not close to berkeley kids and now living in the city i feel like an outsider a lil bit",431476992
"Yeah that makes sense I felt like that too esp because I left bhs so there were sometimes weird vibes ",431477888
"Nice name labeling",431482368
"Haha ",431484800
"Kim Davidson ",431484800
"More like Sherlock ",431484928
"I got some urban people coming and I got th tix ",431488384
"Ok how many tickets?",431494528
"I just got two for us",431495168
"Yo you still have my belt and I need it back",431532160
???,431532288
"You borrowed my belt once!",431532288
"what're u talking
about",431532288
"I have no idea what ur talking about",431532288
"U did ",431532288
"ohhhhh wait! I remnebern!!",431532288
"sorry ya it's at my moms house",431532288
Ya!,431532288
"can I bring it on Sunday to work?",431532288
"I only have like two belts ",431532288
"Ya ",431532288
"okay cool sorry I totally forgot about that",431532288
"It's fine no big deal",431532288
"Urban start yet? ",431539840
"Yep on Tuesday",431545856
"￼Nicest trunk on the freshman quad",431550848
"Lol. Hysterical. I no joke bought a shirt that says ""she a fashion killa, I'm a trendy nigga"" on the front",431550976
"Can I wear that!!!????",431550976
Yes,431551104
"Join wpa",431551104
"Wear it ",431551104
"What would papa say",431551170
"He is literally so black it's unbelievable",431551744
"￼at tha doctors ",431551744
"￼Who is this guy",431552256
"The Mexican",431556096
Nefarious,431556096
wowza,431559424
